,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
59,Canada,2020-04-21,1744,60.46,60.24,60.46,60.24,0.24K,-4.03%
60,Canada,2020-04-22,2261,61.0,60.18,61.0,59.0,1.43K,0.89%
61,Canada,2020-04-23,1636,60.0,61.01,61.01,59.7,1.35K,-1.64%
62,Canada,2020-04-24,1620,60.25,59.55,60.9,59.55,1.08K,0.42%
63,Canada,2020-04-27,1583,59.23,60.79,60.79,59.23,1.04K,-1.69%
64,Canada,2020-04-28,1534,61.5,59.42,61.5,59.42,1.98K,3.83%
65,Canada,2020-04-29,1715,61.0,61.4,61.41,60.34,4.26K,-0.81%
66,Canada,2020-04-30,1592,59.76,61.21,61.21,59.59,2.39K,-2.03%
67,Canada,2020-05-01,1886,59.61,59.62,59.8,59.26,0.71K,-0.25%
68,Canada,2020-05-05,1258,59.7,59.7,59.71,59.7,0.70K,0.15%
69,Canada,2020-05-06,1479,59.59,59.59,59.59,59.59,0.24K,-0.18%
70,Canada,2020-05-07,1507,58.01,59.5,59.5,58.01,1.13K,-2.65%
71,Canada,2020-05-08,1473,59.9,58.5,59.95,58.5,0.82K,3.26%
72,Canada,2020-05-11,1173,58.77,59.0,59.9,57.85,2.02K,-1.89%
73,Canada,2020-05-12,1155,59.3,59.2,61.02,59.2,1.38K,0.90%
74,Canada,2020-05-13,1149,58.0,58.2,58.2,58.0,1.26K,-2.19%
75,Canada,2020-05-14,1213,58.17,57.93,58.2,57.5,0.65K,0.29%
76,Canada,2020-05-15,1178,56.15,56.15,56.15,56.15,0.37K,-3.47%
77,Canada,2020-05-19,1082,58.45,56.75,58.45,56.65,0.59K,4.10%
78,Canada,2020-05-20,1082,58.82,57.49,58.82,57.49,0.93K,0.63%
79,Canada,2020-05-21,1167,57.25,57.25,57.25,57.25,0.24K,-2.67%
80,Canada,2020-05-22,1205,56.75,57.0,57.0,56.75,0.32K,-0.87%
81,Canada,2020-05-26,971,59.5,59.0,59.64,58.65,1.40K,4.85%
82,Canada,2020-05-27,899,59.97,60.02,60.02,58.75,1.97K,0.79%
83,Canada,2020-05-28,987,59.11,59.0,59.11,59.0,1.04K,-1.43%
84,Canada,2020-05-29,933,59.0,59.05,59.06,59.0,2.21K,-0.19%
85,Canada,2020-06-01,809,57.55,60.44,60.5,57.55,2.13K,-2.46%
86,Canada,2020-06-02,672,60.2,60.2,60.2,60.2,0.20K,4.60%
87,Canada,2020-06-03,681,60.5,60.17,60.98,60.05,2.04K,0.50%
88,Canada,2020-06-04,628,60.15,60.35,60.35,58.72,0.91K,-0.58%
89,Canada,2020-06-05,678,61.46,60.05,61.46,60.05,5.29K,2.18%
90,Canada,2020-06-08,601,62.45,62.31,62.57,62.26,1.30K,1.61%
91,Canada,2020-06-09,462,61.25,60.5,61.31,60.5,1.21K,-1.92%
92,Canada,2020-06-10,479,60.64,62.45,62.45,60.64,0.42K,-1.00%
93,Canada,2020-06-11,439,61.01,60.1,62.45,60.1,5.80K,0.61%
