,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
160,Canada,2020-09-14,1458,49.54,49.5,49.79,49.14,648.35K,0.08%
161,Canada,2020-09-15,802,50.1,49.63,50.29,49.19,563.48K,1.13%
162,Canada,2020-09-16,952,48.97,50.18,50.23,48.97,489.77K,-2.26%
163,Canada,2020-09-17,1027,49.28,48.76,49.49,48.76,545.80K,0.63%
164,Canada,2020-09-18,1174,49.17,49.46,49.46,48.87,1.73M,-0.22%
165,Canada,2020-09-21,1833,49.01,48.61,49.12,48.04,315.17K,-0.33%
166,Canada,2020-09-22,1272,49.91,49.0,50.04,48.98,548.18K,1.84%
167,Canada,2020-09-23,1084,49.36,50.05,50.12,49.2,1.22M,-1.10%
168,Canada,2020-09-24,1148,50.49,49.05,50.86,49.05,714.77K,2.29%
169,Canada,2020-09-25,1630,50.63,50.52,50.67,49.96,370.90K,0.28%
170,Canada,2020-09-28,1791,51.35,50.99,51.4,50.72,1.34M,1.42%
171,Canada,2020-09-29,1772,50.95,51.23,51.31,50.79,335.04K,-0.78%
172,Canada,2020-09-30,2116,51.04,50.99,51.41,50.6,685.61K,0.18%
173,Canada,2020-10-01,1823,51.43,51.3,51.58,50.93,387.06K,0.76%
174,Canada,2020-10-02,2124,51.15,51.04,51.26,50.69,389.99K,-0.54%
175,Canada,2020-10-05,2883,51.96,51.29,51.96,51.04,553.42K,1.58%
176,Canada,2020-10-06,2372,52.19,52.15,52.65,51.91,753.51K,0.44%
177,Canada,2020-10-07,1624,52.55,52.24,52.76,51.99,417.78K,0.69%
178,Canada,2020-10-08,2350,51.65,52.69,52.88,51.53,646.74K,-1.71%
179,Canada,2020-10-09,2895,51.74,51.72,52.27,51.59,428.14K,0.17%
180,Canada,2020-10-13,4111,51.75,52.15,52.15,51.31,387.41K,0.02%
181,Canada,2020-10-14,2575,51.97,51.94,52.41,51.75,488.14K,0.43%
182,Canada,2020-10-15,2298,51.95,51.46,52.08,51.07,834.26K,-0.04%
183,Canada,2020-10-16,2566,51.13,51.79,52.02,51.11,607.83K,-1.58%
184,Canada,2020-10-19,3307,51.4,51.1,51.75,50.84,606.83K,0.53%
185,Canada,2020-10-20,2238,51.39,51.7,51.75,51.05,380.16K,-0.02%
186,Canada,2020-10-21,2687,51.21,51.38,51.64,51.14,249.70K,-0.35%
187,Canada,2020-10-22,2581,50.39,51.09,51.42,50.39,564.44K,-1.60%
188,Canada,2020-10-23,2902,49.7,50.43,50.8,49.56,999.08K,-1.37%
189,Canada,2020-10-26,4099,48.77,49.49,49.49,48.41,509.50K,-1.87%
190,Canada,2020-10-27,2730,48.0,49.07,49.07,47.69,1.02M,-1.58%
191,Canada,2020-10-28,2663,46.58,47.41,47.81,46.47,606.64K,-2.96%
192,Canada,2020-10-29,3017,46.43,46.48,46.94,45.96,985.02K,-0.32%
193,Canada,2020-10-30,3556,45.88,46.23,46.23,45.44,578.51K,-1.18%
194,Canada,2020-11-02,3529,46.05,46.0,46.44,45.42,508.82K,0.37%
195,Canada,2020-11-03,4738,46.51,46.27,46.72,46.05,497.22K,1.00%
196,Canada,2020-11-04,2782,47.27,47.29,47.4,46.66,695.26K,1.63%
197,Canada,2020-11-05,2784,49.89,47.8,50.02,47.65,1.39M,5.54%
198,Canada,2020-11-06,5393,49.02,49.5,49.97,48.46,932.70K,-1.74%
199,Canada,2020-11-09,4871,49.06,50.0,51.01,48.4,821.30K,0.08%
200,Canada,2020-11-10,4445,49.47,48.77,49.97,48.77,546.55K,0.84%
201,Canada,2020-11-11,3984,49.06,49.53,49.9,48.9,665.52K,-0.83%
202,Canada,2020-11-12,5474,48.72,49.27,49.54,48.48,833.89K,-0.69%
203,Canada,2020-11-13,4770,49.42,48.92,49.75,48.74,779.85K,1.44%
204,Canada,2020-11-16,6033,50.34,49.45,50.55,48.64,2.90M,1.86%
205,Canada,2020-11-17,4462,50.13,50.01,50.2,49.6,828.16K,-0.42%
206,Canada,2020-11-18,4518,49.22,50.04,50.04,49.14,976.78K,-1.82%
207,Canada,2020-11-19,4794,49.99,49.22,50.17,48.97,765.93K,1.56%
208,Canada,2020-11-20,4987,50.7,50.12,50.85,49.72,421.51K,1.42%
209,Canada,2020-11-23,6795,50.4,50.31,50.87,50.27,621.19K,-0.59%
210,Canada,2020-11-24,5282,51.97,50.63,52.29,50.48,1.08M,3.12%
211,Canada,2020-11-25,4958,51.44,52.24,52.49,51.43,375.73K,-1.02%
212,Canada,2020-11-26,5679,51.96,51.45,52.01,51.37,180.46K,1.01%
213,Canada,2020-11-27,5954,52.73,51.93,52.96,51.92,422.46K,1.48%
214,Canada,2020-11-30,7895,53.16,52.56,53.16,51.91,1.95M,0.82%
215,Canada,2020-12-01,5495,52.78,53.36,53.78,52.64,1.04M,-0.71%
216,Canada,2020-12-02,6454,54.22,52.86,54.25,52.78,867.49K,2.73%
217,Canada,2020-12-03,6264,54.22,53.85,55.45,53.78,1.11M,0.00%
218,Canada,2020-12-04,6419,53.96,54.41,54.59,53.79,580.73K,-0.48%
219,Canada,2020-12-07,7724,53.39,53.79,54.06,53.24,722.40K,-1.06%
220,Canada,2020-12-08,6171,53.39,53.08,53.52,53.04,446.85K,0.00%
221,Canada,2020-12-09,6399,55.0,54.58,55.45,53.53,1.39M,3.02%
222,Canada,2020-12-10,6686,54.46,55.1,55.1,54.2,581.32K,-0.98%
223,Canada,2020-12-11,6715,53.5,54.0,54.62,53.35,1.03M,-1.76%
224,Canada,2020-12-14,8377,53.94,53.98,54.67,53.88,875.03K,0.82%
