,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
198,Canada,2020-11-06,5393,15.82,16.2,16.38,15.78,3.17M,-3.30%
199,Canada,2020-11-09,4871,20.35,19.44,20.41,18.0,27.16M,28.63%
200,Canada,2020-11-10,4445,20.12,19.59,20.5,18.87,9.87M,-1.13%
201,Canada,2020-11-11,3984,19.22,19.98,20.38,19.11,6.21M,-4.47%
202,Canada,2020-11-12,5474,18.57,18.9,19.13,18.49,5.06M,-3.38%
203,Canada,2020-11-13,4770,19.41,18.57,19.49,18.57,4.38M,4.52%
204,Canada,2020-11-16,6033,20.28,20.88,20.93,19.8,8.27M,4.48%
205,Canada,2020-11-17,4462,20.77,19.94,20.96,19.87,6.82M,2.42%
206,Canada,2020-11-18,4518,21.6,21.1,21.82,21.01,8.37M,4.00%
207,Canada,2020-11-19,4794,21.68,21.67,22.0,21.1,6.46M,0.37%
208,Canada,2020-11-20,4987,21.01,21.7,21.97,20.95,5.46M,-3.09%
209,Canada,2020-11-23,6795,21.69,21.29,21.79,21.02,6.28M,3.24%
210,Canada,2020-11-24,5282,23.57,22.34,24.0,22.3,11.89M,8.67%
211,Canada,2020-11-25,4958,23.73,23.5,24.0,22.6,7.17M,0.68%
212,Canada,2020-11-26,5679,23.82,23.71,23.99,23.51,2.23M,0.38%
213,Canada,2020-11-27,5954,24.86,23.91,25.95,23.8,9.62M,4.37%
214,Canada,2020-11-30,7895,24.7,25.5,25.6,23.95,8.97M,-0.64%
215,Canada,2020-12-01,5495,25.11,25.06,25.32,24.72,6.34M,1.66%
216,Canada,2020-12-02,6454,25.89,25.17,26.06,24.99,7.10M,3.11%
217,Canada,2020-12-03,6264,27.25,26.5,27.5,26.23,9.73M,5.25%
218,Canada,2020-12-04,6419,27.5,27.95,28.24,27.47,8.08M,0.92%
219,Canada,2020-12-07,7724,27.04,27.7,27.79,26.73,6.44M,-1.67%
220,Canada,2020-12-08,6171,27.34,26.9,27.74,26.74,6.02M,1.11%
221,Canada,2020-12-09,6399,26.19,27.55,27.64,25.76,9.94M,-4.21%
222,Canada,2020-12-10,6686,26.43,25.7,26.68,25.19,5.75M,0.92%
223,Canada,2020-12-11,6715,26.16,26.23,26.47,25.47,5.97M,-1.02%
224,Canada,2020-12-14,8377,26.1,26.61,27.03,26.05,5.16M,-0.23%
