"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 21, 2020","183.25","181.52","184.50","181.51","12.89K","0.10%"
"Aug 20, 2020","183.06","184.00","184.77","181.50","17.93K","-0.59%"
"Aug 19, 2020","184.15","180.64","184.41","180.44","27.18K","1.48%"
"Aug 18, 2020","181.46","182.95","183.49","179.50","47.24K","-0.58%"
"Aug 17, 2020","182.51","181.97","187.58","181.77","53.12K","1.11%"
"Aug 14, 2020","180.51","183.00","183.00","178.47","30.61K","-1.44%"
"Aug 13, 2020","183.15","180.05","185.11","180.05","38.75K","1.20%"
"Aug 12, 2020","180.98","184.69","187.00","180.55","38.96K","-1.64%"
"Aug 11, 2020","184.00","190.32","191.01","183.34","92.68K","-2.95%"
"Aug 10, 2020","189.60","191.41","192.91","186.05","68.35K","-1.49%"
"Aug 07, 2020","192.47","194.99","195.44","191.90","65.37K","0.05%"
"Aug 06, 2020","192.38","169.52","194.70","169.52","182.92K","15.63%"
"Aug 05, 2020","166.38","164.93","166.38","162.02","31.21K","0.74%"
"Aug 04, 2020","165.16","166.05","166.35","164.17","60.56K","-0.46%"
"Jul 31, 2020","165.93","167.84","167.84","162.32","39.14K","-0.16%"
"Jul 30, 2020","166.20","160.41","166.93","160.41","62.40K","3.23%"
"Jul 29, 2020","161.00","161.37","161.64","158.63","38.41K","0.63%"
"Jul 28, 2020","160.00","157.89","160.04","156.38","38.62K","1.46%"
"Jul 27, 2020","157.70","154.85","158.38","154.22","29.50K","2.38%"
"Jul 24, 2020","154.03","154.89","155.00","150.58","57.90K","-0.75%"
"Jul 23, 2020","155.20","159.85","159.85","154.80","38.95K","-1.62%"
"Jul 22, 2020","157.75","158.99","158.99","157.37","43.31K","0.43%"
"Jul 21, 2020","157.07","163.47","164.98","156.85","50.84K","-4.06%"
"Jul 20, 2020","163.71","160.69","164.38","159.82","37.86K","2.02%"
"Jul 17, 2020","160.47","158.00","161.37","157.25","34.38K","1.74%"
