"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 13, 2020","39.95","38.34","39.95","37.20","1.99M","5.91%"
"Mar 12, 2020","37.72","36.20","39.09","36.17","2.27M","-7.05%"
"Mar 11, 2020","40.58","40.62","41.02","39.84","1.52M","-1.48%"
"Mar 10, 2020","41.19","40.99","42.50","40.32","1.58M","1.03%"
"Mar 09, 2020","40.77","38.84","40.79","38.14","1.78M","1.67%"
"Mar 06, 2020","40.10","39.03","40.20","38.56","1.24M","1.24%"
"Mar 05, 2020","39.61","39.64","39.66","38.69","914.29K","-1.07%"
"Mar 04, 2020","40.04","39.62","40.26","39.28","948.67K","1.78%"
"Mar 03, 2020","39.34","39.82","40.08","39.18","1.10M","-0.76%"
"Mar 02, 2020","39.64","40.16","40.25","38.96","1.63M","0.46%"
"Feb 28, 2020","39.46","38.08","39.51","37.88","2.48M","1.62%"
"Feb 27, 2020","38.83","37.23","39.00","37.00","1.18M","2.18%"
"Feb 26, 2020","38.00","37.89","38.80","37.85","1.12M","-0.29%"
"Feb 25, 2020","38.11","39.00","39.72","38.05","1.12M","-2.31%"
"Feb 24, 2020","39.01","38.15","40.05","38.12","878.60K","-2.79%"
"Feb 21, 2020","40.13","40.66","41.02","39.73","1.55M","-1.71%"
"Feb 20, 2020","40.83","41.41","41.53","40.22","831.70K","-2.06%"
"Feb 19, 2020","41.69","41.71","42.47","41.66","1.09M","0.17%"
"Feb 18, 2020","41.62","43.36","43.39","40.73","1.92M","-4.56%"
"Feb 14, 2020","43.61","43.50","44.00","43.42","714.18K","0.23%"
"Feb 13, 2020","43.51","43.45","43.78","43.22","763.05K","-0.16%"
"Feb 12, 2020","43.58","44.18","44.23","43.50","848.45K","-0.93%"
"Feb 11, 2020","43.99","44.74","44.77","43.89","583.75K","-1.68%"
"Feb 10, 2020","44.74","44.10","44.95","44.00","500.31K","1.29%"
"Feb 07, 2020","44.17","44.59","44.64","44.16","387.15K","-1.36%"
"Feb 06, 2020","44.78","44.24","44.85","44.21","849.87K","1.11%"
"Feb 05, 2020","44.29","45.00","45.02","44.26","774.45K","-0.92%"
"Feb 04, 2020","44.70","45.14","45.45","44.67","484.14K","-0.07%"
"Feb 03, 2020","44.73","45.18","45.62","44.71","723.60K","-0.80%"
"Jan 31, 2020","45.09","46.06","46.30","44.63","749.88K","-2.55%"
"Jan 30, 2020","46.27","46.64","47.04","45.99","619.88K","-1.78%"
"Jan 29, 2020","47.11","46.91","47.40","46.72","413.25K","0.45%"
"Jan 28, 2020","46.90","46.77","47.13","46.55","521.03K","0.60%"
"Jan 27, 2020","46.62","45.88","46.72","45.69","481.10K","0.11%"
"Jan 24, 2020","46.57","47.13","47.76","46.48","661.44K","-0.94%"
